Safari portal pages to build,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Transfer pages,,,,,,,,,,,,https://account.safariportal.app/acc/1594060708398499298/content-library/page/10891121/landing,,,
,,,,,,,,,,,,,,,
Pages needed:,From Area,To Area,Segment,Mode of transport,Name (RI_AreaStart_AreaEnd_Segment),General intro text,In Safari Portal,Link,Added when,Checked by Gerco (when),Note,From Station,To Station,UPDATE,
78,Okinawa,Miyakojima,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",RI_Okinawa_Miyakojima_High,,YES,https://travel.safariportal.app/Transfer-Okinawa-to-MiyakojimaOkinawaMiyakojimaHigh?id=12144893&type=agent,05/18,,,Naha Airport,Miyako Airport,,
79,Miyakojima,Okinawa,Normal,1. Flight Miyako → Okinawa,RI_Miyakojima_Okinawa_Normal,,YES,https://travel.safariportal.app/Transfer-Miyakojima-to-OkinawaMiyakojimaOkinawaNormal?id=12144979&type=agent,05/18,,,Miyako Airport,Naha Airport,,
80,Miyakojima,Okinawa,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",RI_Miyakojima_Okinawa_High,,YES,https://travel.safariportal.app/Transfer-Miyakojima-to-OkinawaMiyakojimaOkinawaHigh?id=12144991&type=agent,05/18,,,Miyako Airport,Naha Airport,,
81,Tokyo,Ishigaki,Normal,1. Flight Tokyo → Ishigaki,Transfer Tokyo to Ishigaki,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-IshigakiTokyoIshigakiNormal?id=12145114&type=agent,05/18,,,Haneda Airport,Ishigaki Airport,,
82,Tokyo,Ishigaki,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",Transfer Tokyo to Ishigaki,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-IshigakiTokyoIshigakiHigh?id=12145234&type=agent,05/18,,,Haneda Airport,Ishigaki Airport,,
83,Ishigaki,Tokyo,Normal,1. Flight Ishigaki → Tokyo,Transfer Ishigaki to Tokyo ,,YES,https://travel.safariportal.app/Transfer-Ishigaki-to-TokyoIshigakiTokyoNormal?id=12145317&type=agent,05/18,,,Ishigaki Airport,Haneda Airport,,
84,Ishigaki,Tokyo,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",Transfer Ishigaki to Tokyo ,,YES,https://travel.safariportal.app/Transfer-Ishigaki-to-TokyoIshigakiTokyoHigh?id=12145339&type=agent,05/18,,,Ishigaki Airport,Haneda Airport,,
85,Tokyo,Miyakojima,Normal,1. Flight Tokyo → Miyako,Transfer Tokyo to Miyakojima,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-MiyakojimaTokyoMiyakojimaNormal?id=12145372&type=agent,05/18,,,Haneda Airport,Miyako Airport,,
86,Tokyo,Miyakojima,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",Transfer Tokyo to Miyakojima,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-MiyakojimaTokyoMiyakojimaHigh?id=12145406&type=agent,05/18,,,Haneda Airport,Miyako Airport,,
87,Miyakojima,Tokyo,Normal,1. Flight Miyako → Tokyo,Transfer Miyakojima to Tokyo,,YES,https://travel.safariportal.app/Transfer-Miyakojima-to-TokyoMiyakojimaTokyoNormal?id=12145492&type=agent,05/18,,,Miyako Airport,Haneda Airport,,
88,Miyakojima,Tokyo,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",Transfer Miyakojima to Tokyo,,YES,https://travel.safariportal.app/Transfer-Miyakojima-to-TokyoMiyakojimaTokyoHigh?id=12145497&type=agent,05/18,,,Miyako Airport,Haneda Airport,,
89,Tokyo,Sapporo,Normal,1. Flight Tokyo → Sapporo,Transfer Tokyo to Sapporo,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-SapporoTokyoSapporoNormal?id=12145549&type=agent,05/18,,,Haneda Airport,New Chitose Airport,,
90,Tokyo,Sapporo,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",Transfer Tokyo to Sapporo,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-SapporoTokyoSapporoHigh?id=12145584&type=agent,05/18,,,Haneda Airport,New Chitose Airport,,
91,Sapporo,Tokyo,Normal,1. Flight Sapporo → Tokyo,Transfer Sapporo to Tokyo,,YES,https://travel.safariportal.app/Transfer-Sapporo-to-TokyoSapporoTokyoNormal?id=12145603&type=agent,05/18,,,New Chitose Airport,Haneda Airport,,
92,Sapporo,Tokyo,High,"1. Private transfer Hotel → Airport
2. Flight (Premium Class)
3. Private transfer Airport → Hotel",Transfer Sapporo to Tokyo,,YES,https://travel.safariportal.app/Transfer-Sapporo-to-TokyoSapporoTokyoHigh?id=12145643&type=agent,05/18,,,New Chitose Airport,Haneda Airport,,
93,Sapporo,Niseko,Normal,1. Airport shuttle New Chitose → Niseko,Transfer Sapporo to Niseko,,YES,https://travel.safariportal.app/Transfer-Sapporo-to-NisekoSapporoNisekoNormal?id=12145672&type=agent,05/18,,,New Chitose Airport,Niseko,,
94,Sapporo,Niseko,High,1. Private transfer New Chitose → Niseko,Transfer Sapporo to Niseko,,YES,https://travel.safariportal.app/Transfer-Sapporo-to-NisekoSapporoNisekoHigh?id=12145715&type=agent,05/18,,,New Chitose Airport,Niseko,,
95,Niseko,Sapporo,Normal,1. Shuttle Niseko → New Chitose,Transfer Niseko to Sapporo,,YES,https://travel.safariportal.app/Transfer-Niseko-to-SapporoNisekoSapporoNormal?id=12145882&type=agent,05/18,,,Niseko,New Chitose Airport,,
96,Niseko,Sapporo,High,1. Private transfer Niseko → New Chitose,Transfer Niseko to Sapporo,,YES,https://travel.safariportal.app/Transfer-Niseko-to-SapporoNisekoSapporoHigh?id=12145964&type=agent,05/18,,,Niseko,New Chitose Airport,,
97,Naoshima,Setoda,Normal,"1. Ferry Naoshima (Miyanoura Port) → Uno Port
 2. Local train Uno → Okayama
 3. Shinkansen Okayama → Mihara
 4. Ferry Mihara Port → Setoda Port",Transfer Naoshima to Setoda,,YES,https://travel.safariportal.app/Transfer-Naoshima-to-SetodaNaoshimaSetodaNormal?id=12156888&type=agent,05/19,,,,,OK,
98,Naoshima,Setoda,High,"1. Hotel courtesy car to Miyanoura Port
 2. Ferry Naoshima → Uno Port
 3. Private transfer Uno → Okayama Station
 4. Shinkansen (Green Class) Okayama → Mihara
 5. Private transfer Mihara Station → Mihara Port
 6. Ferry Mihara Port → Setoda Port",Transfer Naoshima to Setoda,,YES,https://travel.safariportal.app/Transfer-Naoshima-to-SetodaNaoshimaSetodaHigh?id=12157208&type=agent,05/19,,,,,OK,
99,Setoda,Naoshima,Normal,"1. Ferry Setoda Port → Mihara Port
 2. Shinkansen Mihara → Okayama
 3. Local bus / taxi Okayama → Uno Port
 4. Ferry Uno → Naoshima (Miyanoura Port)",Transfer Setoda to Naoshima,,YES,https://travel.safariportal.app/Transfer-Setoda-to-NaoshimaSetodaNaoshimaNormal?id=12176278&type=agent,05/21,,,,,OK,
100,Setoda,Naoshima,High,"2. Ferry Setoda Port → Mihara Port
 3. Private transfer Mihara Port → Mihara Station
 4. Shinkansen (Green Class) Mihara → Okayama
 5. Private transfer Okayama Station → Uno Port
 6. Ferry Uno → Naoshima (Miyanoura Port)
 7. Hotel courtesy car / private transfer to Hotel",Transfer Setoda to Naoshima,,YES,https://travel.safariportal.app/Transfer-Setoda-to-NaoshimaSetodaNaoshimaHigh?id=12197126&type=agent,05/21,,,,,OK,
101,Hakone,Kiso Valley,Normal,"1. Local train / rental car return to Odawara Station
 2. Shinkansen Odawara → Nagoya
 3. JR Limited Express Shinano Nagoya → Kiso Valley arrival station (see note)
 4. Local train / taxi / hotel courtesy car to accommodation",Transfer Hakone to Kiso Valley,,YES,https://travel.safariportal.app/Transfer-Hakone-to-Kiso-ValleyHakoneKiso-ValleyNormal?id=12214054&type=agent,46167,,,,,1. Local train / rental car return to Odawara Station → 2. Shinkansen Odawara → Nagoya → 3. JR Limited Express Shinano Nagoya → Kiso-Fukushima Station → 4. Hotel courtesy car / taxi to accommodation,
102,Hakone,Kiso Valley,High,"1. Private transfer Hotel → Odawara Station
 2. Shinkansen (Green Class) Odawara → Nagoya
 3. JR Limited Express Shinano (Green Car) Nagoya → Kiso Valley arrival station (see note)
 4. Private transfer to accommodation",Transfer Hakone to Kiso Valley,,YES,https://travel.safariportal.app/Transfer-Hakone-to-Kiso-ValleyHakoneKiso-ValleyHigh?id=12214103&type=agent,46167,,,,,1. Private transfer Hotel → Odawara Station → 2. Shinkansen (Green Class) Odawara → Nagoya → 3. JR Limited Express Shinano (Green Car) Nagoya → Kiso-Fukushima Station → 4. Private transfer to accommodatio,
103,Kiso Valley,Kyoto,Normal,"1. Hotel courtesy car / local train to departure station (see note — Nagiso → via Nakatsugawa, or direct from Nakatsugawa / Kiso-Fukushima)
 2. JR Limited Express Shinano → Nagoya
 3. Shinkansen Nagoya → Kyoto",Transfer Kiso Valley to Kyoto,,YES,https://travel.safariportal.app/Transfer-Kiso-Valley-to-KyotoKiso-ValleyKyotoNormal?id=12214185&type=agent,46167,,,,,1. Hotel courtesy car / taxi to Kiso-Fukushima Station → 2. JR Limited Express Shinano Kiso-Fukushima → Nagoya → 3. Shinkansen Nagoya → Kyoto,
104,Kiso Valley,Kyoto,High,"1. Private transfer from accommodation to Nagoya Station
 2. Shinkansen (Green Class) Nagoya → Kyoto
 3. Private transfer to Hotel",Transfer Kiso Valley to Kyoto,,YES,https://travel.safariportal.app/Transfer-Kiso-Valley-to-KyotoKiso-ValleyKyotoHigh?id=12214219&type=agent,05/25,,,,,1. Private transfer to Kiso-Fukushima Station → 2. JR Limited Express Shinano (Green Car) Kiso-Fukushima → Nagoya → 3. Shinkansen (Green Class) Nagoya → Kyoto → 4. Private transfer to Hotel,
105,Osaka,Setoda,Normal,"1. Shinkansen Shin-Osaka → Mihara (via Fukuyama or Hiroshima)
 2. Ferry Mihara Port → Setoda Port",Transfer Osaka to Setoda,,YES,https://travel.safariportal.app/Transfer-Osaka-to-SetodaOsakaSetodaNormal?id=12214358&type=agent,05/25,,,,,1. Shinkansen Shin-Osaka → Mihara Station → 2. Local bus / taxi Mihara Station → Mihara Port → 3. Ferry Mihara Port → Setoda Port,
106,Osaka,Setoda,High,"1. Private transfer to Shin-Osaka Station
 2. Shinkansen (Green Class) Shin-Osaka → Mihara
 3. Private transfer Mihara Station → Mihara Port
 4. Ferry Mihara Port → Setoda Port",Transfer Osaka to Setoda,,YES,https://travel.safariportal.app/Transfer-Osaka-to-SetodaOsakaSetodaHigh?id=12214402&type=agent,05/25,,,,,OK,
107,Kamikochi,Tokyo,Normal,"1. Local bus Kamikochi Bus Terminal → Matsumoto / Sawando Bus Terminal
 2. JR Limited Express Azusa Matsumoto → Shinjuku",Transfer Kamikochi to Tokyo,,YES,https://travel.safariportal.app/Transfer-Kamikochi-to-TokyoKamikochiTokyoNormal?id=12214677&type=agent,05/25,,,,,,
108,Kamikochi,Tokyo,High,"1. Private transfer Kamikochi → Matsumoto Station (via rental car / hotel courtesy car)
 2. JR Limited Express Azusa (Green Car) Matsumoto → Shinjuku
 3. Private transfer to Hotel",Transfer Kamikochi to Tokyo,,YES,https://travel.safariportal.app/Transfer-Kamikochi-to-TokyoKamikochiTokyoHigh?id=12214728&type=agent,05/25,,,,,,
109,Kamikochi,Kyoto,Normal,"1. Local bus Kamikochi → Sawando / Hirayu
 2. Rental car / taxi to Takayama Station
 3. JR Limited Express Hida Takayama → Nagoya
 4. Shinkansen Nagoya → Kyoto",Transfer Kamikochi to Kyoto,,YES,https://travel.safariportal.app/Transfer-Kamikochi-to-KyotoKamikochiKyotoNormal?id=12214753&type=agent,05/25,,,,,,
110,Kamikochi,Kyoto,High,"1. Private transfer Kamikochi → Takayama Station
 2. JR Limited Express Hida (Green Car) Takayama → Nagoya
 3. Shinkansen (Green Class) Nagoya → Kyoto
 4. Private transfer to Hotel",Transfer Kamikochi to Kyoto,,YES,https://travel.safariportal.app/Transfer-Kamikochi-to-KyotoKamikochiKyotoHigh?id=12214846&type=agent,05/25,,,,,,
111,Kiso Valley,Hakone,Normal,"1. Hotel courtesy car / local train to departure station (see note)
 2. JR Limited Express Shinano → Nagoya
 3. Shinkansen Nagoya → Odawara
 4. Rent a car from Odawara Station",Transfer Kiso Valley to Hakone,,YES,https://travel.safariportal.app/Transfer-Kiso-Valley-to-HakoneKiso-ValleyHakoneNormal?id=12215001&type=agent,05/25,,,,,1. Hotel courtesy car / taxi to Kiso-Fukushima Station → 2. JR Limited Express Shinano Kiso-Fukushima → Nagoya → 3. Shinkansen Nagoya → Odawara → 4. Rental car pick-up / local transfer from Odawara Station,
112,Kiso Valley,Hakone,High,"1. Private transfer from accommodation to Nagoya Station
 2. Shinkansen (Green Class) Nagoya → Odawara
 3. Rent a car / private transfer to Hotel",Transfer Kiso Valley to Hakone,,YES,https://travel.safariportal.app/Transfer-Kiso-Valley-to-HakoneKiso-ValleyHakoneHigh?id=12215039&type=agent,05/25,,,,,1. Private transfer to Kiso-Fukushima Station → 2. JR Limited Express Shinano (Green Car) Kiso-Fukushima → Nagoya → 3. Shinkansen (Green Class) Nagoya → Odawara → 4. Private transfer to Hotel,
113,Osaka,Tokyo,Normal,1. Shinkansen Shin-Osaka → Tokyo,Transfer Osaka to Tokyo,,YES,https://travel.safariportal.app/Transfer-Osaka-to-TokyoOsakaTokyoNormal?id=12215070&type=agent,05/25,,,,,,
114,Osaka,Tokyo,High,"1. Private transfer to Shin-Osaka Station
 2. Shinkansen (Green Class) Shin-Osaka → Tokyo
 3. Private transfer to Hotel",Transfer Osaka to Tokyo,,YES,https://travel.safariportal.app/Transfer-Osaka-to-TokyoOsakaTokyoHigh?id=12215109&type=agent,05/25,,,,,,
115,Tokyo,Kamikochi,Normal,"1. JR Limited Express Azusa Shinjuku → Matsumoto
 2. Local bus / rental car Matsumoto → Sawando / Kamikochi Bus Terminal",Transfer Tokyo to Kamikochi,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-Kamikochi-TokyoKamikochiNormal?id=12215249&type=agent,05/25,,,,,,
116,Tokyo,Kamikochi,High,"1. Private transfer Hotel → Shinjuku Station
 2. JR Limited Express Azusa (Green Car) Shinjuku → Matsumoto
 3. Private transfer Matsumoto → Kamikochi Bus Terminal",Transfer Tokyo to Kamikochi,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-Kamikochi-TokyoKamikochiHigh?id=12215284&type=agent,05/25,,,,,,
117,Kiso Valley,Tokyo,Normal,"1. Hotel courtesy car / local train to departure station (see note)
 2. JR Limited Express Shinano → Nagoya
 3. Shinkansen Nagoya → Tokyo / Shinagawa",Transfer Kiso Valley to Tokyo,,YES,https://travel.safariportal.app/Transfer-Kiso-Valley-to-TokyoKiso-ValleyTokyoNormal?id=12215360&type=agent,05/25,,,,,1. Hotel courtesy car / taxi to Kiso-Fukushima Station → 2. JR Limited Express Shinano Kiso-Fukushima → Nagoya → 3. Shinkansen Nagoya → Tokyo / Shinagawa,
118,Kiso Valley,Tokyo,High,"1. Private transfer from accommodation to Nagoya Station
 2. Shinkansen (Green Class) Nagoya → Tokyo / Shinagawa
 3. Private transfer to Hotel",Transfer Kiso Valley to Tokyo,,YES,https://travel.safariportal.app/Transfer-Kiso-Valley-to-TokyoKiso-ValleyTokyoHigh?id=12215413&type=agent,05/25,,,,,1. Private transfer to Kiso-Fukushima Station → 2. JR Limited Express Shinano (Green Car) Kiso-Fukushima → Nagoya → 3. Shinkansen (Green Class) Nagoya → Tokyo / Shinagawa → 4. Private transfer to Hotel,
119,Kyoto,Kiso Valley,Normal,"1. Shinkansen Kyoto → Nagoya
 2. JR Limited Express Shinano Nagoya → Kiso Valley arrival station (see note)
 3. Local train / taxi / hotel courtesy car to accommodation",Transfer Kyoto to Kiso Valley,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-Kiso-Valley-KyotoKiso-ValleyNormal?id=12215417&type=agent,05/25,,,,,1. Shinkansen Kyoto → Nagoya → 2. JR Limited Express Shinano Nagoya → Kiso-Fukushima Station → 3. Hotel courtesy car / taxi to accommodation,
120,Kyoto,Kiso Valley,High,"1. Private transfer to Kyoto Station
 2. Shinkansen (Green Class) Kyoto → Nagoya
 3. Private transfer Nagoya → accommodation",Transfer Kyoto to Kiso Valley,,YES,https://travel.safariportal.app/Transfer-Kyoto-to-Kiso-ValleyKyotoKiso-ValleyHigh?id=12215475&type=agent,05/25,,,,,. Private transfer to Kyoto Station → 2. Shinkansen (Green Class) Kyoto → Nagoya → 3. JR Limited Express Shinano (Green Car) Nagoya → Kiso-Fukushima Station → 4. Private transfer to accommodation,
121,Koyasan,Naoshima,Normal,"1. Cable car train Koyasan → Gokurakubashi Station
 2. Various trains Gokurakubashi → Shin-Osaka
 3. Shinkansen Shin-Osaka → Okayama
 4. Local bus / taxi Okayama → Uno Port
 5. Ferry Uno → Naoshima (Miyanoura Port)",Transfer Koyasan to Naoshima,,YES,https://travel.safariportal.app/Transfer-Koyasan-to-NaoshimaKoyasanNaoshimaNormal?id=12215681&type=agent,05/25,,,,,,
122,Koyasan,Naoshima,High,"1. Private transfer Koyasan → Shin-Osaka Station
 2. Shinkansen (Green Class) Shin-Osaka → Okayama
 3. Private transfer Okayama Station → Uno Port
 4. Ferry Uno → Naoshima (Miyanoura Port)
 5. Hotel courtesy car / private transfer to Hotel",Transfer Koyasan to Naoshima,,YES,https://travel.safariportal.app/Transfer-Koyasan-to-NaoshimaKoyasanNaoshimaHigh?id=12215840&type=agent,05/25,,,,,,
123,Kumano Kodo,Kyoto,Normal,"1. Local bus / local train to Shingu / Kii-Katsuura Station
 2. JR Limited Express Kuroshio Shingu → Shin-Osaka
 3. Local train Shin-Osaka → Kyoto",Transfer Kumano Kodo to Kyoto,,YES,https://travel.safariportal.app/Transfer-Kumano-Kodo-to-KyotoKumano-KodoKyotoNormal?id=12253496&type=agent,05/25,,,,,1. Local bus / local train to Shingu Station → 2. JR Limited Express Kuroshio Shingu → Shin-Osaka → 3. Local train Shin-Osaka → Kyoto,
124,Kumano Kodo,Kyoto,High,"1. Private transfer to Shingu / Kii-Katsuura Station
 2. JR Limited Express Kuroshio (Green Car) Shingu → Shin-Osaka
 3. Private transfer to Hotel",Transfer Kumano Kodo to Kyoto,,YES,https://travel.safariportal.app/Transfer-Kumano-Kodo-to-KyotoKumano-KodoKyotoHigh?id=12253519&type=agent,05/25,,,,,1. Private transfer to Shingu Station → 2. JR Limited Express Kuroshio (Green Car) Shingu → Shin-Osaka → 3. Private transfer Shin-Osaka Station → Hotel,
125,Naoshima,Tokyo,Normal,"1. Ferry Naoshima (Miyanoura Port) → Uno Port
 2. Local bus / taxi Uno → Okayama Station
 3. Shinkansen Okayama → Tokyo / Shinagawa",Transfer Naoshima to Tokyo,,YES,https://travel.safariportal.app/Transfer-Naoshima-to-TokyoNaoshimaTokyoNormal?id=12253522&type=agent,05/25,,,,,,
126,Naoshima,Tokyo,High,"1. Hotel courtesy car / private transfer to Miyanoura Port
 2. Ferry Naoshima → Uno Port
 3. Private transfer Uno → Okayama Station
 4. Shinkansen (Green Class) Okayama → Tokyo / Shinagawa
 5. Private transfer to Hotel",Transfer Naoshima to Tokyo,,YES,https://travel.safariportal.app/Transfer-Naoshima-to-TokyoNaoshimaTokyoHigh?id=12253524&type=agent,05/25,,,,,,
127,Niseko,Tokyo,Normal,"1. Shuttle Niseko → New Chitose Airport
 2. Flight New Chitose → Tokyo (Haneda or Narita)",Transfer Niseko to Tokyo,,YES,https://travel.safariportal.app/Transfer-Niseko-to-TokyoNisekoTokyoNormal?id=12253532&type=agent,05/25,,,,,,
128,Niseko,Tokyo,High,"1. Private transfer Niseko → New Chitose Airport
 2. Flight (Premium Class) New Chitose → Tokyo
 3. Private transfer Airport → Hotel",Transfer Niseko to Tokyo,,YES,https://travel.safariportal.app/Transfer-Niseko-to-TokyoNisekoTokyoHigh?id=12253535&type=agent,05/25,,,,,,
129,Setoda,Osaka,Normal,"1. Ferry Setoda Port → Mihara Port
 2. Shinkansen Mihara → Fukuyama
 3. Shinkansen Fukuyama → Shin-Osaka",Transfer Setoda to Osaka,,YES,https://travel.safariportal.app/Transfer-Setoda-to-OsakaSetodaOsakaNormal?id=12253561&type=agent,05/25,,,,,1. Ferry Setoda Port → Mihara Port → 2. Local bus / taxi Mihara Port → Mihara Station → 3. Shinkansen Mihara → Shin-Osaka,
130,Setoda,Osaka,High,"1. Hotel courtesy car / private transfer to Setoda Port
 2. Ferry Setoda Port → Mihara Port
 3. Private transfer Mihara Port → Mihara Station
 4. Shinkansen (Green Class) Mihara → Shin-Osaka
 5. Private transfer to Hotel",Transfer Setoda to Osaka,,YES,https://travel.safariportal.app/Transfer-Setoda-to-OsakaSetodaOsakaHigh?id=12253602&type=agent,05/25,,,,,OK,
131,Setoda,Tokyo,Normal,"1. Ferry Setoda Port → Mihara Port
 2. Shinkansen Mihara → Fukuyama / Okayama
 3. Shinkansen Fukuyama / Okayama → Tokyo / Shinagawa",Transfer Setoda to Tokyo,,YES,https://travel.safariportal.app/Transfer-Setoda-to-TokyoSetodaTokyoNormal?id=12253654&type=agent,05/25,,,,,1. Ferry Setoda Port → Mihara Port → 2. Local bus / taxi Mihara Port → Mihara Station → 3. Shinkansen Mihara → Tokyo / Shinagawa,
132,Setoda,Tokyo,High,"1. Hotel courtesy car / private transfer to Setoda Port
 2. Ferry Setoda Port → Mihara Port
 3. Private transfer Mihara Port → Mihara Station
 4. Shinkansen (Green Class) Mihara → Tokyo / Shinagawa
 5. Private transfer to Hotel",Transfer Setoda to Tokyo,,YES,https://travel.safariportal.app/Transfer-Setoda-to-TokyoSetodaTokyoHigh?id=12253671&type=agent,05/25,,,,,OK,
133,Ishigaki,Osaka,Normal,1. Flight Ishigaki → Osaka (Kansai International),Transfer Ishigaki to Osaka,,YES,https://travel.safariportal.app/Transfer-Ishigaki-to-OsakaIshigakiOsakaNormal?id=12253706&type=agent,05/25,,,,,,
134,Ishigaki,Osaka,High,"1. Private transfer Hotel → New Ishigaki Airport
 2. Flight (Premium Class) Ishigaki → Osaka
 3. Private transfer Airport → Hotel",Transfer Ishigaki to Osaka,,YES,https://travel.safariportal.app/Transfer-Ishigaki-to-OsakaIshigakiOsakaHigh?id=12253712&type=agent,05/25,,,,,,
135,Kanazawa,Kyoto,Normal,"1. Shinkansen Kanazawa → Tsuruga
 2. JR Limited Express Thunderbird Tsuruga → Kyoto",Transfer Kanazawa to Kyoto,,YES,https://travel.safariportal.app/Transfer-Kanazawa-to-KyotoKanazawaKyotoNormal?id=12253736&type=agent,05/25,,,,,,
136,Kanazawa,Kyoto,High,"1. Private transfer to Kanazawa Station
 2. Shinkansen (Green Class) Kanazawa → Tsuruga
 3. JR Limited Express Thunderbird (Green Car) Tsuruga → Kyoto
 4. Private transfer to Hotel",Transfer Kanazawa to Kyoto,,YES,https://travel.safariportal.app/Transfer-Kanazawa-to-KyotoKanazawaKyotoHigh?id=12253743&type=agent,05/25,,,,,,
137,Kawaguchiko,Kyoto,Normal,"1. Return rental car / private transfer to Mishima Station
 2. Shinkansen Mishima → Kyoto",Transfer Kawaguchiko to Kyoto,,YES,https://travel.safariportal.app/Transfer-Kawaguchiko-to-KyotoKawaguchikoKyotoNormal?id=12253776&type=agent,05/25,,,,,,
138,Kawaguchiko,Kyoto,High,"1. Private transfer Kawaguchiko → Mishima Station
 2. Shinkansen (Green Class) Mishima → Kyoto
 3. Private transfer to Hotel",Transfer Kawaguchiko to Kyoto,,YES,,05/25,,,,,,
139,Naoshima,Hakone,Normal,"1. Ferry Naoshima (Miyanoura Port) → Uno Port
 2. Local bus / taxi Uno → Okayama Station
 3. Shinkansen Okayama → Odawara (via Nagoya / Shin-Yokohama)
 4. Rent a car from Odawara Station",Transfer Naoshima to Hakone,,YES,https://travel.safariportal.app/Transfer-Naoshima-to-HakoneNaoshimaHakoneNormal?id=12253793&type=agent,05/25,,,,,,
140,Naoshima,Hakone,High,"1. Hotel courtesy car / private transfer to Miyanoura Port
 2. Ferry Naoshima → Uno Port
 3. Private transfer Uno → Okayama Station
 4. Shinkansen (Green Class) Okayama → Odawara
 5. Rent a car / private transfer to Hotel",Transfer Naoshima to Hakone,,YES,https://travel.safariportal.app/Transfer-Naoshima-to-HakoneNaoshimaHakoneHigh?id=12253816&type=agent,05/25,,,,,,
141,Osaka,Hakone,Normal,"1. Shinkansen Shin-Osaka → Odawara
 2. Rent a car from Odawara Station",Transfer Osaka to Hakone,,YES,https://travel.safariportal.app/Transfer-Osaka-to-HakoneOsakaHakoneNormal?id=12253837&type=agent,05/25,,,,,,
142,Osaka,Hakone,High,"1. Private transfer to Shin-Osaka Station
 2. Shinkansen (Green Class) Shin-Osaka → Odawara
 3. Rent a car / private transfer to Hotel",Transfer Osaka to Hakone,,YES,https://travel.safariportal.app/Transfer-Osaka-to-HakoneOsakaHakoneHigh?id=12253863&type=agent,05/25,,,,,,
143,Tokyo,Naoshima,Normal,"1. Shinkansen Tokyo → Okayama
 2. Local bus / taxi Okayama → Uno Port
 3. Ferry Uno → Naoshima (Miyanoura Port)",Transfer Tokyo to Naoshima,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-NaoshimaTokyoNaoshimaNormal?id=12253871&type=agent,05/25,,,,,,
144,Tokyo,Naoshima,High,"1. Private transfer to Tokyo / Shinagawa Station
 2. Shinkansen (Green Class) Tokyo → Okayama
 3. Private transfer Okayama Station → Uno Port
 4. Ferry Uno → Naoshima (Miyanoura Port)
 5. Hotel courtesy car / private transfer to Hotel",Transfer Tokyo to Naoshima,,YES,https://travel.safariportal.app/Transfer-Tokyo-to-NaoshimaTokyoNaoshimaHigh?id=12253937&type=agent,05/25,,,,,,
145,Hakone,Naoshima,Normal,"1. Local train / rental car return to Odawara Station
 2. Shinkansen Odawara → Okayama (via Nagoya)
 3. Local bus / taxi Okayama → Uno Port
 4. Ferry Uno → Naoshima (Miyanoura Port)",Transfer Hakone to Naoshima,,YES,https://travel.safariportal.app/Transfer-Hakone-to-NaoshimaHakoneNaoshimaNormal?id=12253959&type=agent,05/25,,,,,,
146,Hakone,Naoshima,High,"1. Private transfer Hotel → Odawara Station
 2. Shinkansen (Green Class) Odawara → Okayama
 3. Private transfer Okayama Station → Uno Port
 4. Ferry Uno → Naoshima (Miyanoura Port)
 5. Hotel courtesy car / private transfer to Hotel",Transfer Hakone to Naoshima,,YES,https://travel.safariportal.app/Transfer-Hakone-to-NaoshimaHakoneNaoshimaHigh?id=12253986&type=agent,05/25,,,,,,
147,Hakone,Osaka,Normal,"1. Return rental car / local train to Odawara Station
 2. Shinkansen Odawara → Shin-Osaka",Transfer Hakone to Osaka,,YES,https://travel.safariportal.app/Transfer-Hakone-to-OsakaHakoneOsakaNormal?id=12254001&type=agent,05/25,,,,,,
148,Hakone,Osaka,High,"1. Private transfer Hotel → Odawara Station
 2. Shinkansen (Green Class) Odawara → Shin-Osaka
 3. Private transfer to Hotel",Transfer Hakone to Osaka,,YES,https://travel.safariportal.app/Transfer-Hakone-to-OsakaHakoneOsakaHigh?id=12254037&type=agent,05/25,,,,,,
149,Hakone,Setoda,Normal,"1. Return rental car / local train to Odawara Station
 2. Shinkansen Odawara → Mihara (via Nagoya / Fukuyama)
 3. Ferry Mihara Port → Setoda Port",Transfer Hakone to Setoda,,YES,https://travel.safariportal.app/Transfer-Hakone-to-SetodaHakoneSetodaNormal?id=12254048&type=agent,05/25,,,,,1. Return rental car / local train to Odawara Station → 2. Shinkansen Odawara → Mihara → 3. Local bus / taxi Mihara Station → Mihara Port → 4. Ferry Mihara Port → Setoda Port,
